id,text,cluster,cluster_size
0,"Fire detection: Lat=-43.796, Lon=171.599, Brightness=326.5, Confidence=60.0%, Date=2025-09-04 209, Satellite=N",0,2435
1,"Fire detection: Lat=-38.403, Lon=178.053, Brightness=326.1, Confidence=60.0%, Date=2025-09-04 209, Satellite=N",3,2051
2,"Fire detection: Lat=-36.581, Lon=174.318, Brightness=326.0, Confidence=60.0%, Date=2025-09-04 211, Satellite=N",1,3468
3,"Fire detection: Lat=-34.897, Lon=173.187, Brightness=331.2, Confidence=60.0%, Date=2025-09-04 211, Satellite=N",0,2435
4,"Fire detection: Lat=-16.810, Lon=177.488, Brightness=334.8, Confidence=60.0%, Date=2025-09-04 213, Satellite=N",0,2435
5,"Fire detection: Lat=-41.436, Lon=146.968, Brightness=327.3, Confidence=60.0%, Date=2025-09-04 349, Satellite=N",0,2435
6,"Fire detection: Lat=-41.435, Lon=146.974, Brightness=332.4, Confidence=60.0%, Date=2025-09-04 349, Satellite=N",1,3468
7,"Fire detection: Lat=-37.834, Lon=144.789, Brightness=330.2, Confidence=60.0%, Date=2025-09-04 349, Satellite=N",0,2435
8,"Fire detection: Lat=-37.633, Lon=144.712, Brightness=330.7, Confidence=60.0%, Date=2025-09-04 349, Satellite=N",0,2435
9,"Fire detection: Lat=-37.057, Lon=148.267, Brightness=340.9, Confidence=60.0%, Date=2025-09-04 349, Satellite=N",1,3468
10,"Fire detection: Lat=-37.012, Lon=142.153, Brightness=338.3, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",1,3468
11,"Fire detection: Lat=-37.000, Lon=139.875, Brightness=345.6, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",5,1696
12,"Fire detection: Lat=-36.997, Lon=139.876, Brightness=332.6, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",1,3468
13,"Fire detection: Lat=-35.412, Lon=144.901, Brightness=329.6, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",1,3468
14,"Fire detection: Lat=-35.411, Lon=144.896, Brightness=334.7, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",4,1714
15,"Fire detection: Lat=-35.408, Lon=144.900, Brightness=332.0, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
16,"Fire detection: Lat=-34.779, Lon=147.166, Brightness=330.8, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",1,3468
17,"Fire detection: Lat=-34.703, Lon=146.535, Brightness=341.2, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",1,3468
18,"Fire detection: Lat=-34.596, Lon=150.636, Brightness=328.2, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
19,"Fire detection: Lat=-34.475, Lon=149.396, Brightness=345.4, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",4,1714
20,"Fire detection: Lat=-34.369, Lon=143.784, Brightness=343.3, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",1,3468
21,"Fire detection: Lat=-34.369, Lon=143.789, Brightness=340.8, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",1,3468
22,"Fire detection: Lat=-34.368, Lon=143.781, Brightness=346.5, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",1,3468
23,"Fire detection: Lat=-34.368, Lon=143.785, Brightness=348.0, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",1,3468
24,"Fire detection: Lat=-34.368, Lon=143.790, Brightness=331.2, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
25,"Fire detection: Lat=-34.366, Lon=143.779, Brightness=333.2, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",1,3468
26,"Fire detection: Lat=-34.362, Lon=143.779, Brightness=333.2, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",0,2435
27,"Fire detection: Lat=-34.358, Lon=143.797, Brightness=341.1, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",1,3468
28,"Fire detection: Lat=-34.355, Lon=143.792, Brightness=336.0, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",1,3468
29,"Fire detection: Lat=-34.354, Lon=143.797, Brightness=335.9, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",2,1924
30,"Fire detection: Lat=-34.042, Lon=147.573, Brightness=351.9, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",1,3468
31,"Fire detection: Lat=-34.039, Lon=147.568, Brightness=337.1, Confidence=60.0%, Date=2025-09-04 351, Satellite=N",4,1714
