latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,brightness
-43.79615,171.59904,326.54,0.39,0.44,2025-09-04,209,N,VIIRS,60,2.0NRT,291.19,2.03,D,326.54
-38.4026,178.05348,326.13,0.39,0.36,2025-09-04,209,N,VIIRS,60,2.0NRT,290.96,1.93,D,326.13
-36.58125,174.31815,326.03,0.4,0.37,2025-09-04,211,N,VIIRS,60,2.0NRT,290.31,2.98,D,326.03
-34.89676,173.18658,331.19,0.41,0.37,2025-09-04,211,N,VIIRS,60,2.0NRT,292.38,5.95,D,331.19
-16.81019,177.48756,334.77,0.48,0.48,2025-09-04,213,N,VIIRS,60,2.0NRT,296.09,4.74,D,334.77
-41.43553,146.96817,327.3,0.51,0.41,2025-09-04,349,N,VIIRS,60,2.0NRT,283.54,3.95,D,327.3
-41.43486,146.97446,332.35,0.51,0.41,2025-09-04,349,N,VIIRS,60,2.0NRT,284.05,3.95,D,332.35
-37.83365,144.78934,330.25,0.39,0.44,2025-09-04,349,N,VIIRS,60,2.0NRT,287.66,3.61,D,330.25
-37.63279,144.71191,330.74,0.39,0.44,2025-09-04,349,N,VIIRS,60,2.0NRT,282.29,1.18,D,330.74
-37.05721,148.26689,340.87,0.42,0.37,2025-09-04,349,N,VIIRS,60,2.0NRT,289.3,4.12,D,340.87
-37.01217,142.15303,338.3,0.52,0.5,2025-09-04,351,N,VIIRS,60,2.0NRT,287.0,3.76,D,338.3
-37.00002,139.87473,345.59,0.34,0.56,2025-09-04,351,N,VIIRS,60,2.0NRT,289.09,3.41,D,345.59
-36.99708,139.8765,332.58,0.34,0.56,2025-09-04,351,N,VIIRS,60,2.0NRT,288.47,4.08,D,332.58
-35.41174,144.90062,329.63,0.54,0.42,2025-09-04,351,N,VIIRS,60,2.0NRT,285.7,4.64,D,329.63
-35.41089,144.89586,334.71,0.54,0.42,2025-09-04,351,N,VIIRS,60,2.0NRT,283.73,4.92,D,334.71
-35.4078,144.89999,332.03,0.54,0.42,2025-09-04,351,N,VIIRS,60,2.0NRT,284.17,4.64,D,332.03
-34.77886,147.16562,330.78,0.43,0.38,2025-09-04,351,N,VIIRS,60,2.0NRT,293.7,2.37,D,330.78
-34.70256,146.53494,341.22,0.45,0.39,2025-09-04,351,N,VIIRS,60,2.0NRT,296.16,5.78,D,341.22
-34.59644,150.63589,328.21,0.39,0.36,2025-09-04,351,N,VIIRS,60,2.0NRT,288.71,1.9,D,328.21
-34.47487,149.39645,345.41,0.39,0.36,2025-09-04,351,N,VIIRS,60,2.0NRT,292.05,7.69,D,345.41
-34.36938,143.78429,343.34,0.4,0.44,2025-09-04,351,N,VIIRS,60,2.0NRT,298.07,4.82,D,343.34
-34.36894,143.78871,340.81,0.4,0.44,2025-09-04,351,N,VIIRS,60,2.0NRT,297.54,6.57,D,340.81
-34.36843,143.78076,346.48,0.4,0.44,2025-09-04,351,N,VIIRS,60,2.0NRT,298.55,5.93,D,346.48
-34.36797,143.78517,347.99,0.4,0.44,2025-09-04,351,N,VIIRS,60,2.0NRT,298.55,5.93,D,347.99
-34.36751,143.78958,331.24,0.4,0.44,2025-09-04,351,N,VIIRS,60,2.0NRT,297.31,3.25,D,331.24
